server_name,server_url,server_description,auth_type,maturity,compatability,tool_name,tool_description,example_queries,capability_tags,embedded_text
supabase,https://github.com/supabase-community/supabase-mcp,"Connects directly to Supabase projects for managing databases, executing SQL queries, applying migrations, and handling configurations through natural language commands.",Oauth,stable,"cursor
claude_desktop
generic_mcp_client
openai_agents",list_projects,Lists all Supabase projects for the user.,"query1: Show me all supabase projects in my account and give me a short one-line description for each
query2:  List all my active projects and highlight which ones were created in the last 30 days
query3: Fetch all supabase project and tell me which one has the most recent activity in the logs","multi-project-discovery

account-scope-enumeration

workspace-inventory

top-level-resource-mapping","{
    ""purpose"": ""Manage Supabase projects through natural language"",
    ""tool"": ""list_projects"",
    ""features"": [""multi-project listing"", ""project metadata extraction"", ""activity-based filtering""],
    ""use_cases"": [
      ""identify all Supabase projects"",
      ""filter projects based on recent creation or activity"",
      ""summarize project descriptions for quick overview""
    ],
    ""examples"": [
      ""Show me all supabase projects in my account and give me a short one-line description for each"",
      ""List all my active projects and highlight which ones were created in the last 30 days"",
      ""Fetch all supabase project and tell me which one has the most recent activity in the logs""
    ],
    ""tags"": [
      ""multi-project-discovery"",
      ""account-scope-enumeration"",
      ""workspace-inventory"",
      ""top-level-resource-mapping""
    ]
  }"
supabase,https://github.com/supabase-community/supabase-mcp,"Connects directly to Supabase projects for managing databases, executing SQL queries, applying migrations, and handling configurations through natural language commands.",Oauth,stable,"cursor
claude_desktop
generic_mcp_client
openai_agents",get_project,Gets details for a project.,"query1: Get the full details of the Supabase project named my-app-prod
query2:Fetch the project info for the project with ID abcd-1234 and tell me its region and status
query3:Find the project that’s hosting my production API and summarize its configuration and connection string details.","project-metadata-inspection

resource-profile-deepview

configuration-introspection","{
    ""purpose"": ""Retrieve detailed configuration and metadata of a Supabase project"",
    ""tool"": ""get_project"",
    ""features"": [
      ""project lookup by name or ID"",
      ""configuration inspection"",
      ""status and region discovery""
    ],
    ""use_cases"": [
      ""fetch full project metadata"",
      ""inspect region, connection string, and status details"",
      ""locate project hosting production APIs""
    ],
    ""examples"": [
      ""Get the full details of the Supabase project named my-app-prod"",
      ""Fetch the project info for the project with ID abcd-1234 and tell me its region and status"",
      ""Find the project that’s hosting my production API and summarize its configuration and connection string details.""
    ],
    ""tags"": [
      ""project-metadata-inspection"",
      ""resource-profile-deepview"",
      ""configuration-introspection""
    ]
  }"
supabase,https://github.com/supabase-community/supabase-mcp,"Connects directly to Supabase projects for managing databases, executing SQL queries, applying migrations, and handling configurations through natural language commands.",Oauth,stable,"cursor
claude_desktop
generic_mcp_client
openai_agents",create_project,Creates a new Supabase project,"query1:  Create a new Supabase project called analytics-staging in the us-east-1 region with a strong random password
query2:  Spin up a fresh Supabase project named demo-blog for quick testing; keep defaults for everything else
query3:  Create a project for my Next.js ecommerce app called shop-prod and tell me the database connection info once it’s ready","project-provisioning-orchestration

infrastructure-bootstrap

environment-instantiation","{
    ""purpose"": ""Provision new Supabase projects using natural language commands"",
    ""tool"": ""create_project"",
    ""features"": [
      ""project creation"",
      ""auto configuration handling"",
      ""database provisioning with connection details""
    ],
    ""use_cases"": [
      ""spin up temporary staging or demo environments"",
      ""create production-grade Supabase projects"",
      ""automatically generate secure database credentials""
    ],
    ""examples"": [
      ""Create a new Supabase project called analytics-staging in the us-east-1 region with a strong random password"",
      ""Spin up a fresh Supabase project named demo-blog for quick testing; keep defaults for everything else"",
      ""Create a project for my Next.js ecommerce app called shop-prod and tell me the database connection info once it’s ready""
    ],
    ""tags"": [
      ""project-provisioning-orchestration"",
      ""infrastructure-bootstrap"",
      ""environment-instantiation""
    ]
  }"
supabase,https://github.com/supabase-community/supabase-mcp,"Connects directly to Supabase projects for managing databases, executing SQL queries, applying migrations, and handling configurations through natural language commands.",Oauth,stable,"cursor
claude_desktop
generic_mcp_client
openai_agents",pause_project,Pauses a project,"query1: Pause the Supabase project feature-flags-dev to save costs while I’m not using it.
query2:  Find any project named legacy-api and pause it so it doesn’t accrue database charges
query3:  Identify my least recently used project and pause it after confirming it’s safe to stop.","environment-suspension

cost-optimization-action

non-destructive-resource-freeze","{
    ""server_name"": ""supabase"",
    ""purpose"": ""Pause Supabase projects safely to save costs without deleting them"",
    ""tool"": ""pause_project"",
    ""features"": [
      ""non-destructive project suspension"",
      ""cost optimization for idle environments"",
      ""project selection by name or usage""
    ],
    ""use_cases"": [
      ""pause rarely used development projects to reduce spend"",
      ""suspend legacy projects while keeping data intact"",
      ""identify least-used projects and pause them safely""
    ],
    ""examples"": [
      ""Pause the Supabase project feature-flags-dev to save costs while I’m not using it."",
      ""Find any project named legacy-api and pause it so it doesn’t accrue database charges"",
      ""Identify my least recently used project and pause it after confirming it’s safe to stop.""
    ],
    ""tags"": [
      ""environment-suspension"",
      ""cost-optimization-action"",
      ""non-destructive-resource-freeze""
    ]
  "
supabase,https://github.com/supabase-community/supabase-mcp,"Connects directly to Supabase projects for managing databases, executing SQL queries, applying migrations, and handling configurations through natural language commands.",Oauth,stable,"cursor
claude_desktop
generic_mcp_client
openai_agents",restore_project,Restores a project.,"query1: Restore the Supabase project analytics-staging that I previously paused so I can run queries again.
query2: Re-enable the project with ID abcd-1234 and confirm the database is online
query3: Restore the project I paused most recently and summarize its status after restore.","environment-resumption

halted-resource-recovery

state-rehydration-action","{
    ""server_name"": ""supabase"",
    ""purpose"": ""Restore previously paused Supabase projects back to an active state"",
    ""tool"": ""restore_project"",
    ""features"": [
      ""resume paused projects"",
      ""status and readiness verification"",
      ""restore by project name or ID""
    ],
    ""use_cases"": [
      ""bring paused staging or test environments back online"",
      ""reactivate a project before running queries or tests"",
      ""restore most recently paused project for quick debugging""
    ],
    ""examples"": [
      ""Restore the Supabase project analytics-staging that I previously paused so I can run queries again."",
      ""Re-enable the project with ID abcd-1234 and confirm the database is online"",
      ""Restore the project I paused most recently and summarize its status after restore.""
    ],
    ""tags"": [
      ""environment-resumption"",
      ""halted-resource-recovery"",
      ""state-rehydration-action""
    ]
  }"
supabase,https://github.com/supabase-community/supabase-mcp,"Connects directly to Supabase projects for managing databases, executing SQL queries, applying migrations, and handling configurations through natural language commands.",Oauth,stable,"cursor
claude_desktop
generic_mcp_client
openai_agents",list_organizations,Lists all organizations that the user is a member of.,"query1: List all Supabase organizations I belong to and show how many projects each one has
query2: Fetch all organizations in my account and point out which one is set as the default.
query3:  List my organizations and call out any that are owned by my company domain example.com","org-level-hierarchy-scan

multi-tenant-access-enumeration

identity-scope-discovery","{
    ""server_name"": ""supabase"",
    ""purpose"": ""List all Supabase organizations the user belongs to"",
    ""tool"": ""list_organizations"",
    ""features"": [
      ""organization enumeration"",
      ""project counts per organization"",
      ""default organization detection""
    ],
    ""use_cases"": [
      ""get an overview of all Supabase organizations and their project counts"",
      ""identify the default or primary organization"",
      ""find organizations tied to a specific company domain""
    ],
    ""examples"": [
      ""List all Supabase organizations I belong to and show how many projects each one has"",
      ""Fetch all organizations in my account and point out which one is set as the default."",
      ""List my organizations and call out any that are owned by my company domain example.com""
    ],
    ""tags"": [
      ""org-level-hierarchy-scan"",
      ""multi-tenant-access-enumeration"",
      ""identity-scope-discovery""
    ]
  },"
supabase,https://github.com/supabase-community/supabase-mcp,"Connects directly to Supabase projects for managing databases, executing SQL queries, applying migrations, and handling configurations through natural language commands.",Oauth,stable,"cursor
claude_desktop
generic_mcp_client
openai_agents",get_organization,Gets details for an organization.,"query1: Get the full details for the organization named Acme Corp
query2: Fetch organization info for the org with ID org_1234 and show its billing email and plan.
query3: Find the organization that contains the project shop-prod and summarize its metadata.","organization-profile-analysis

membership-structure-inspection

access-governance-evaluation","{
    ""server_name"": ""supabase"",
    ""purpose"": ""Retrieve detailed information about a specific Supabase organization"",
    ""tool"": ""get_organization"",
    ""features"": [
      ""organization lookup by name or ID"",
      ""billing and plan inspection"",
      ""organization-project relationship discovery""
    ],
    ""use_cases"": [
      ""inspect metadata for a specific organization"",
      ""check billing email and subscription plan details"",
      ""find the organization that owns a given project""
    ],
    ""examples"": [
      ""Get the full details for the organization named Acme Corp"",
      ""Fetch organization info for the org with ID org_1234 and show its billing email and plan."",
      ""Find the organization that contains the project shop-prod and summarize its metadata.""
    ],
    ""tags"": [
      ""organization-profile-analysis"",
      ""membership-structure-inspection"",
      ""access-governance-evaluation""
    ]
  },"
supabase,https://github.com/supabase-community/supabase-mcp,"Connects directly to Supabase projects for managing databases, executing SQL queries, applying migrations, and handling configurations through natural language commands.",Oauth,stable,"cursor
claude_desktop
generic_mcp_client
openai_agents",get_cost,Gets the cost of a new project or branch for an organization.,"query1: Estimate the monthly cost of creating a new project in the Acme Corp organization with standard compute
query2: Before creating a new branch, calculate the additional cost for a development branch on project my-app-prod.
query3: Given my org_1234 organization, tell me what it would cost to add a medium-sized branch for performance testing","operational-cost-forecasting

provisioning-impact-assessment

billing-sensitivity-analysis","{
    ""server_name"": ""supabase"",
    ""purpose"": ""Estimate the cost of creating new Supabase projects or branches"",
    ""tool"": ""get_cost"",
    ""features"": [
      ""cost estimation for projects"",
      ""branch-level cost impact analysis"",
      ""org-aware pricing calculations""
    ],
    ""use_cases"": [
      ""estimate monthly cost for a new project in an organization"",
      ""calculate additional cost for development branches"",
      ""forecast spend for performance testing environments""
    ],
    ""examples"": [
      ""Estimate the monthly cost of creating a new project in the Acme Corp organization with standard compute"",
      ""Before creating a new branch, calculate the additional cost for a development branch on project my-app-prod."",
      ""Given my org_1234 organization, tell me what it would cost to add a medium-sized branch for performance testing""
    ],
    ""tags"": [
      ""operational-cost-forecasting"",
      ""provisioning-impact-assessment"",
      ""billing-sensitivity-analysis""
    ]
  }"
supabase,https://github.com/supabase-community/supabase-mcp,"Connects directly to Supabase projects for managing databases, executing SQL queries, applying migrations, and handling configurations through natural language commands.",Oauth,stable,"cursor
claude_desktop
generic_mcp_client
openai_agents",confirm_cost,"Confirms the user's understanding of new project or branch costs. This is required to create a new project or branch.
","query1: Confirm that I understand the estimated cost for the new project you calculated and proceed with creation
query2: Yes, I accept the additional branch cost you just showed; confirm the cost so we can continue
query3: Acknowledge and confirm the migration/branch cost estimate you provided so that the operation is allowed to run.","user-consent-compliance-step

billing-acknowledgement-barrier

pre-provision-safeguard","{
    ""server_name"": ""supabase"",
    ""purpose"": ""Record and confirm user understanding of project or branch costs before provisioning"",
    ""tool"": ""confirm_cost"",
    ""features"": [
      ""user consent confirmation"",
      ""cost acknowledgment tracking"",
      ""pre-provision safety gate""
    ],
    ""use_cases"": [
      ""confirm user approval before creating a new project"",
      ""enforce explicit acceptance of additional branch costs"",
      ""gate migrations or branch operations behind cost acknowledgment""
    ],
    ""examples"": [
      ""Confirm that I understand the estimated cost for the new project you calculated and proceed with creation"",
      ""Yes, I accept the additional branch cost you just showed; confirm the cost so we can continue"",
      ""Acknowledge and confirm the migration/branch cost estimate you provided so that the operation is allowed to run.""
    ],
    ""tags"": [
      ""user-consent-compliance-step"",
      ""billing-acknowledgement-barrier"",
      ""pre-provision-safeguard""
    ]
  }"
supabase,https://github.com/supabase-community/supabase-mcp,"Connects directly to Supabase projects for managing databases, executing SQL queries, applying migrations, and handling configurations through natural language commands.",Oauth,stable,"cursor
claude_desktop
generic_mcp_client
openai_agents",search_docs,Searches the Supabase documentation for up-to-date information. LLMs can use this to find answers to questions or learn how to use specific features.,"query1: Search the Supabase docs for how to set up Row Level Security (RLS) on a users table
query2: Find documentation on using Supabase Edge Functions to build a webhook endpoint.
query3: Search the docs for best practices on managing database migrations in a production Supabase project.","contextual-knowledge-retrieval

documentation-semantic-lookup

developer-guidance-synthesis","{
    ""server_name"": ""supabase"",
    ""purpose"": ""Search Supabase documentation for up-to-date guidance and examples"",
    ""tool"": ""search_docs"",
    ""features"": [
      ""documentation search"",
      ""semantic lookup of features"",
      ""best-practices retrieval""
    ],
    ""use_cases"": [
      ""find how-to guides for specific Supabase features"",
      ""locate examples for Edge Functions or RLS"",
      ""discover migration best practices for production""
    ],
    ""examples"": [
      ""Search the Supabase docs for how to set up Row Level Security (RLS) on a users table"",
      ""Find documentation on using Supabase Edge Functions to build a webhook endpoint."",
      ""Search the docs for best practices on managing database migrations in a production Supabase project.""
    ],
    ""tags"": [
      ""contextual-knowledge-retrieval"",
      ""documentation-semantic-lookup"",
      ""developer-guidance-synthesis""
    ]
  }"
